Time,Experiment,Phase,Event,Detail,Action
16:41:43.194,EyeTracking,SettingUI,LSLCommMgr,Resolving Stream,BCIBackend (type: 'BCIResult')
16:41:46.198,EyeTracking,SettingUI,LSLCommMgr,Stream Not Found,Scheduling reconnect in 5s.
16:41:46.198,EyeTracking,SettingUI,LSLCommMgr,Reconnecting,Reconnecting in 5s
16:41:46.208,EyeTracking,SettingUI,Experiment_Start,EyeTracking,
16:41:46.208,EyeTracking,SettingUI,Phase_Start,SettingUI,
16:41:51.536,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:41:51.536;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
16:41:51.537,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
16:41:51.570,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:41:51.570;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
16:41:51.570,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
16:41:52.535,EyeTracking,SettingUI,LSLCommMgr,Resolving Stream,BCIBackend (type: 'BCIResult')
16:41:52.549,EyeTracking,SettingUI,LSL_Connected,BCIBackend,BCI_Stream_Open
16:41:52.549,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:41:52.549;EyeTracking;SettingUI;LSL_Connected;BCIBackend;BCI_Stream_Open,MarkerSent
16:41:56.833,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:41:56.833;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
16:41:56.833,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
16:41:56.911,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:41:56.911;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
16:41:56.911,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
16:42:03.406,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:42:03.406;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
16:42:03.406,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
16:42:03.429,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:42:03.429;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
16:42:03.429,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
16:42:14.013,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:42:14.013;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
16:42:14.013,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
16:42:14.146,EyeTracking,SettingUI,LSL_Logger,2026-06-12 16:42:14.146;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
