Time,Experiment,Phase,Event,Detail,Action
16:42:28.094,BCI,SettingUI,LSL_Connected,BCIBackend,BCI_Stream_Open
16:42:28.106,BCI,SettingUI,Experiment_Start,BCI,
16:42:28.106,BCI,TrainBCI,Phase_Start,TrainBCI,
16:42:35.974,BCI,TrainBCI,Hover_Enter,Button: StartTrainBCI,Hovering
16:42:35.974,BCI,TrainBCI,Dwell_Start,Button: StartTrainBCI,Dwell_Started
16:42:37.971,BCI,TrainBCI,Dwell,Button: StartTrainBCI,Dwelling_Completed
16:42:37.972,BCI,TrainBCI,Flicker,StartTrainBCI,Flicker_Start
16:42:39.982,BCI,TrainBCI,Flicker,StartTrainBCI,Flicker_End
16:42:40.026,BCI,TrainBCI,BCI_Command_Received,100,FlickerDetected
16:42:40.026,BCI,TrainBCI,Action_Executed,Button: StartTrainBCI; Action: ButtonAction,Execution_Proceeding
16:42:40.027,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:42:44.036,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:42:44.546,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:42:48.554,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:42:48.554,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:42:51.010,BCI,TrainBCI,BCI_Command_Received,201,TrainObj1ActiveComplete
16:42:51.010,BCI,TrainBCI,[TrainBCI] Training complete for Active Door 1,,
16:42:51.010,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Door:1:
16:42:52.565,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:42:53.074,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:42:55.951,BCI,TrainBCI,BCI_Command_Received,203,TrainObj1ImageryComplete
16:42:55.951,BCI,TrainBCI,[TrainBCI] Training complete for Imagery Door 1,,
16:42:55.951,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Door:1:
16:42:57.084,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:42:57.084,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:42:59.117,BCI,TrainBCI,BCI_Command_Received,201,TrainObj1ActiveComplete
16:42:59.117,BCI,TrainBCI,[TrainBCI] Training complete for Active Door 1,,
16:42:59.117,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Door:1:
16:43:01.093,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:43:01.594,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:43:03.614,BCI,TrainBCI,BCI_Command_Received,203,TrainObj1ImageryComplete
16:43:03.614,BCI,TrainBCI,[TrainBCI] Training complete for Imagery Door 1,,
16:43:03.614,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Door:1:
16:43:05.602,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:43:05.602,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:43:07.624,BCI,TrainBCI,BCI_Command_Received,201,TrainObj1ActiveComplete
16:43:07.624,BCI,TrainBCI,[TrainBCI] Training complete for Active Door 1,,
16:43:07.624,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Door:1:
16:43:09.610,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:43:10.121,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:43:12.164,BCI,TrainBCI,BCI_Command_Received,203,TrainObj1ImageryComplete
16:43:12.164,BCI,TrainBCI,[TrainBCI] Training complete for Imagery Door 1,,
16:43:12.164,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Door:1:
16:43:14.130,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:43:14.130,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:43:16.152,BCI,TrainBCI,BCI_Command_Received,201,TrainObj1ActiveComplete
16:43:16.152,BCI,TrainBCI,[TrainBCI] Training complete for Active Door 1,,
16:43:16.152,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Door:1:
16:43:18.139,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:43:18.650,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:43:20.661,BCI,TrainBCI,BCI_Command_Received,203,TrainObj1ImageryComplete
16:43:20.661,BCI,TrainBCI,[TrainBCI] Training complete for Imagery Door 1,,
16:43:20.661,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Door:1:
16:43:22.658,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:43:22.658,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:43:24.661,BCI,TrainBCI,BCI_Command_Received,201,TrainObj1ActiveComplete
16:43:24.661,BCI,TrainBCI,[TrainBCI] Training complete for Active Door 1,,
16:43:24.661,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Door:1:
16:43:26.668,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:43:27.178,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:43:29.177,BCI,TrainBCI,BCI_Command_Received,203,TrainObj1ImageryComplete
16:43:29.177,BCI,TrainBCI,[TrainBCI] Training complete for Imagery Door 1,,
16:43:29.177,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Door:1:
16:43:31.187,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:43:31.187,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:43:33.198,BCI,TrainBCI,BCI_Command_Received,201,TrainObj1ActiveComplete
16:43:33.198,BCI,TrainBCI,[TrainBCI] Training complete for Active Door 1,,
16:43:33.198,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Door:1:
16:43:35.197,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:43:35.708,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:43:37.692,BCI,TrainBCI,BCI_Command_Received,203,TrainObj1ImageryComplete
16:43:37.692,BCI,TrainBCI,[TrainBCI] Training complete for Imagery Door 1,,
16:43:37.692,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Door:1:
16:43:39.717,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:43:39.717,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:43:41.705,BCI,TrainBCI,BCI_Command_Received,201,TrainObj1ActiveComplete
16:43:41.705,BCI,TrainBCI,[TrainBCI] Training complete for Active Door 1,,
16:43:41.705,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Door:1:
16:43:43.726,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:43:44.237,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:43:46.269,BCI,TrainBCI,BCI_Command_Received,203,TrainObj1ImageryComplete
16:43:46.269,BCI,TrainBCI,[TrainBCI] Training complete for Imagery Door 1,,
16:43:46.269,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Door:1:
16:43:48.246,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:43:48.246,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
16:43:50.255,BCI,TrainBCI,BCI_Command_Received,201,TrainObj1ActiveComplete
16:43:50.255,BCI,TrainBCI,[TrainBCI] Training complete for Active Door 1,,
16:43:50.255,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Door:1:
16:43:52.256,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
16:43:52.763,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
16:43:54.775,BCI,TrainBCI,BCI_Command_Received,203,TrainObj1ImageryComplete
16:43:54.775,BCI,TrainBCI,[TrainBCI] Training complete for Imagery Door 1,,
16:43:54.775,BCI,TrainBCI,Training_Imagery_Door1_Start,Door_Single,Door:1:
16:43:56.773,BCI,TrainBCI,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
16:43:56.773,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
