Time,Experiment,Phase,Event,Detail,Action
14:51:59.417,EyeTracking,SettingUI,LSLCommMgr,Resolving Stream,BCIBackend (type: 'BCIResult')
14:52:02.420,EyeTracking,SettingUI,LSLCommMgr,Stream Not Found,Scheduling reconnect in 5s.
14:52:02.421,EyeTracking,SettingUI,LSLCommMgr,Reconnecting,Reconnecting in 5s
14:52:02.428,EyeTracking,SettingUI,Experiment_Start,EyeTracking,
14:52:02.428,EyeTracking,SettingUI,Phase_Start,SettingUI,
14:52:08.845,EyeTracking,SettingUI,LSLCommMgr,Resolving Stream,BCIBackend (type: 'BCIResult')
14:52:08.859,EyeTracking,SettingUI,LSL_Connected,BCIBackend,BCI_Stream_Open
14:52:08.860,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:08.859;EyeTracking;SettingUI;LSL_Connected;BCIBackend;BCI_Stream_Open,MarkerSent
14:52:12.932,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:12.932;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:12.932,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:13.041,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:13.041;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:13.041,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:14.864,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:14.864;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:14.864,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:14.929,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:14.929;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:14.929,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:15.661,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:15.661;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:15.661,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:15.782,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:15.782;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:15.782,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:17.365,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
14:52:17.367,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:17.365;EyeTracking;SettingUI;Hover_Enter;Button: demoIntroScene;Hovering,MarkerSent
14:52:17.376,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
14:52:17.376,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:17.376;EyeTracking;SettingUI;Hover_Exit;Button: demoIntroScene;Hover_Exit,MarkerSent
14:52:17.938,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
14:52:17.938,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:17.938;EyeTracking;SettingUI;Hover_Enter;Button: demoIntroScene;Hovering,MarkerSent
14:52:18.226,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
14:52:18.226,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:18.226;EyeTracking;SettingUI;Hover_Exit;Button: demoIntroScene;Hover_Exit,MarkerSent
14:52:21.427,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:21.427;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:21.427,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:21.493,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:21.493;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:21.493,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:21.647,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:21.647;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:21.647,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:21.660,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:21.660;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:21.660,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:21.681,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:21.681;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:21.681,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:21.697,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:21.697;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:21.697,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:24.158,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:24.158;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:24.158,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:24.358,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:24.358;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:24.358,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:25.558,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:25.558;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:25.558,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:25.712,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:25.712;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:25.712,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:27.679,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:27.679;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:27.679,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:27.824,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:27.824;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:27.824,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:29.025,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:29.025;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:29.025,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:29.046,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:29.046;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:29.046,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:32.355,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:32.355;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:32.355,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:32.711,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:32.711;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:32.711,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:33.877,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:33.877;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:33.877,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:34.078,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:34.078;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:34.078,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:37.753,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:37.753;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:37.753,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:37.839,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:37.839;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:37.839,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:39.506,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:39.506;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:39.506,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:39.827,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:39.827;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:39.827,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:41.439,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:41.439;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:41.439,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:41.604,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:41.604;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:41.604,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:42.262,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:42.262;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:42.262,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:42.372,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:42.372;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:42.372,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:42.803,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:42.803;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:42.803,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:42.936,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:42.936;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:42.936,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:44.921,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:44.921;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:44.921,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:45.110,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:45.110;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:45.110,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:45.825,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:45.825;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:45.825,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:46.158,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:46.158;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:46.158,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:49.234,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:49.234;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:49.234,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:49.421,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:49.421;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:49.421,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:50.624,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:50.624;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:50.624,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:50.844,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:50.844;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:50.844,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:54.899,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:54.899;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:54.899,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:55.120,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:55.120;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:55.120,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:57.663,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:57.663;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:57.663,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:57.854,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:57.854;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:57.854,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:52:59.629,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:59.629;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:52:59.629,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:52:59.840,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:52:59.840;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:52:59.840,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:00.585,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:00.585;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:00.585,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:00.619,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:00.619;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:00.619,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:01.862,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:01.862;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:01.862,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:01.952,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:01.952;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:01.952,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:02.883,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:02.883;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:02.883,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:02.949,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:02.949;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:02.949,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:03.782,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:03.782;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:03.782,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:03.839,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:03.839;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:03.839,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:04.316,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:04.316;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:04.316,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:04.438,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:04.438;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:04.438,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:04.961,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:04.961;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:04.961,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:05.083,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:05.083;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:05.083,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:05.838,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:05.838;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:05.838,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:06.003,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:06.003;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:06.003,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:06.280,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:06.280;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:06.280,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:06.424,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:06.424;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:06.424,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:07.248,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:07.248;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:07.248,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:07.347,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:07.347;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:07.347,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:08.503,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:08.503;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:08.503,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:08.549,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:08.549;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:08.549,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:09.102,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:09.102;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:09.102,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:09.181,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:09.181;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:09.181,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:09.802,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:09.802;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:09.802,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:10.178,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:10.178;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:10.178,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:10.500,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:10.500;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:10.500,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:10.720,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:10.720;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:10.720,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:10.997,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:10.997;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:10.997,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:11.207,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:11.207;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:11.207,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:15.133,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:15.133;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:15.133,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:15.200,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:15.200;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:15.200,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:15.885,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:15.884;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:15.885,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:15.920,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:15.920;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:15.920,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:16.987,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
14:53:16.987,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:16.987;EyeTracking;SettingUI;Hover_Enter;Button: demoIntroScene;Hovering,MarkerSent
14:53:16.999,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
14:53:16.999,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:16.999;EyeTracking;SettingUI;Hover_Exit;Button: demoIntroScene;Hover_Exit,MarkerSent
14:53:21.963,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:21.963;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:21.963,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:22.063,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:22.063;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:22.063,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:23.039,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:23.039;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:23.039,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:23.141,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:23.141;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:23.141,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:23.980,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:23.980;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:23.980,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:24.045,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:24.045;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:24.045,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:30.110,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:30.110;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:30.110,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:30.231,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:30.231;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:30.231,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
14:53:31.179,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:31.179;EyeTracking;SettingUI;Eye_Closed;eye_tracking;Eye_Closed,MarkerSent
14:53:31.179,EyeTracking,SettingUI,Eye_Closed,eye_tracking,Eye_Closed
14:53:31.224,EyeTracking,SettingUI,LSL_Logger,2026-06-12 14:53:31.224;EyeTracking;SettingUI;Eye_Opened;eye_tracking;Eye_Opened,MarkerSent
14:53:31.224,EyeTracking,SettingUI,Eye_Opened,eye_tracking,Eye_Opened
