Time,Experiment,Phase,Event,Detail,Action
17:15:55.548,BCI,Test3D,LSL_Connected,BCIBackend,BCI_Stream_Open
17:15:55.570,BCI,Test3D,Experiment_Start,BCI,
17:15:55.570,BCI,TrainBCI,Phase_Start,TrainBCI,
17:15:55.602,BCI,TrainBCI,Hover_Enter,Button: StartTrainBCI,Hovering
17:15:55.604,BCI,TrainBCI,Dwell_Start,Button: StartTrainBCI,Dwell_Started
17:15:56.785,BCI,TrainBCI,Eye_Closed,eye_tracking,Eye_Closed
17:15:56.863,BCI,TrainBCI,Eye_Opened,eye_tracking,Eye_Opened
17:15:57.680,BCI,TrainBCI,Hover_Exit,Button: StartTrainBCI,Hover_Exit
17:15:57.802,BCI,TrainBCI,Hover_Enter,Button: StartTrainBCI,Hovering
17:15:57.870,BCI,TrainBCI,Hover_Exit,Button: StartTrainBCI,Hover_Exit
17:15:57.880,BCI,TrainBCI,Hover_Enter,Button: StartTrainBCI,Hovering
17:15:58.168,BCI,TrainBCI,Hover_Exit,Button: StartTrainBCI,Hover_Exit
17:15:59.103,BCI,TrainBCI,Hover_Enter,Button: StartTrainBCI,Hovering
17:15:59.422,BCI,TrainBCI,Hover_Exit,Button: StartTrainBCI,Hover_Exit
17:15:59.436,BCI,TrainBCI,Hover_Enter,Button: StartTrainBCI,Hovering
17:15:59.480,BCI,TrainBCI,Eye_Closed,eye_tracking,Eye_Closed
17:15:59.602,BCI,TrainBCI,Eye_Opened,eye_tracking,Eye_Opened
17:16:01.112,BCI,TrainBCI,Eye_Closed,eye_tracking,Eye_Closed
17:16:01.234,BCI,TrainBCI,Eye_Opened,eye_tracking,Eye_Opened
17:16:01.434,BCI,TrainBCI,Dwell,Button: StartTrainBCI,Dwelling_Completed
17:16:01.434,BCI,TrainBCI,Action_Executed,Button: StartTrainBCI; Action: ButtonAction,Execution_Proceeding
17:16:01.944,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,TAD1S
17:16:05.953,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,TAD1E
17:16:06.532,BCI,TrainBCI,Eye_Closed,eye_tracking,Eye_Closed
17:16:06.698,BCI,TrainBCI,Eye_Opened,eye_tracking,Eye_Opened
17:16:06.976,BCI,TrainBCI,Training_Active_Door1_Start,Door_Single,TAD1S
17:16:10.984,BCI,TrainBCI,Training_Active_Door1_End,Door_Single,TAD1E
17:16:11.947,BCI,TrainBCI,Eye_Closed,eye_tracking,Eye_Closed
