Time,Experiment,Phase,Event,Detail,Action
16:42:13.970,EyeTracking,SettingUI,LSLCommMgr,Resolving Stream,BCIBackend (type: 'BCIResult')
16:42:13.985,EyeTracking,SettingUI,LSL_Connected,BCIBackend,BCI_Stream_Open
16:42:13.986,EyeTracking,SettingUI,LSL_Logger,2026-06-23 16:42:13.985;EyeTracking;SettingUI;LSL_Connected;BCIBackend;BCI_Stream_Open,MarkerSent
16:42:13.993,EyeTracking,SettingUI,Experiment_Start,EyeTracking,
16:42:13.993,EyeTracking,SettingUI,Phase_Start,SettingUI,
16:42:16.703,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
16:42:16.704,EyeTracking,SettingUI,LSL_Logger,2026-06-23 16:42:16.703;EyeTracking;SettingUI;Hover_Enter;Button: demoIntroScene;Hovering,MarkerSent
16:42:17.611,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
16:42:17.612,EyeTracking,SettingUI,LSL_Logger,2026-06-23 16:42:17.611;EyeTracking;SettingUI;Hover_Exit;Button: demoIntroScene;Hover_Exit,MarkerSent
16:42:24.673,EyeTracking,SettingUI,Hover_Enter,Button: demoIntroScene,Hovering
16:42:24.673,EyeTracking,SettingUI,LSL_Logger,2026-06-23 16:42:24.673;EyeTracking;SettingUI;Hover_Enter;Button: demoIntroScene;Hovering,MarkerSent
16:42:26.664,EyeTracking,SettingUI,Action_Executed,Button: demoIntroScene; Action: ButtonAction,Execution_Proceeding
16:42:26.664,EyeTracking,SettingUI,LSL_Logger,2026-06-23 16:42:26.664;EyeTracking;SettingUI;Action_Executed;Button: demoIntroScene; Action: ButtonAction;Execution_Proceeding,MarkerSent
16:42:27.015,EyeTracking,SettingUI,Hover_Exit,Button: demoIntroScene,Hover_Exit
16:42:27.015,EyeTracking,SettingUI,LSL_Logger,2026-06-23 16:42:27.015;EyeTracking;SettingUI;Hover_Exit;Button: demoIntroScene;Hover_Exit,MarkerSent
16:42:27.049,EyeTracking,SettingUI,Hover_Enter,Button: Intro-Next-UI,Hovering
