Time,Experiment,Phase,Event,Detail,Action
17:49:05.719,TrainML,MLTrain,Experiment_Start,TrainML,
17:49:05.719,TrainML,MLTrain,Phase_Start,MLTrain,
17:49:21.829,TrainML,MLTrain,LSL_Connected,BCIBackend,BCI_Stream_Open
17:49:52.507,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:49:52.507,TrainML,MLTrain,Dwell_Start,Button: StartTestBCI,Dwell_Started
17:49:52.529,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:49:52.634,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:49:54.624,TrainML,MLTrain,Dwell,Button: StartTestBCI,Dwelling_Completed
17:49:54.624,TrainML,MLTrain,Flicker,StartTestBCI,Flicker_Start
17:49:56.634,TrainML,MLTrain,Flicker,StartTestBCI,Flicker_End
17:49:56.634,TrainML,MLTrain,Action_Executed,Button: StartTestBCI; Action: ButtonAction,Execution_Proceeding
17:49:56.635,TrainML,MLTrain,MLtest_Start,MLtest,Trial_Sequence_Start
17:49:58.645,TrainML,MLTrain,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
17:50:02.654,TrainML,MLTrain,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
17:50:02.654,TrainML,MLTrain,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
17:50:06.662,TrainML,MLTrain,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
17:50:10.682,TrainML,MLTrain,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
17:50:14.691,TrainML,MLTrain,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
17:50:14.691,TrainML,MLTrain,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
17:50:18.701,TrainML,MLTrain,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
17:50:22.720,TrainML,MLTrain,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
17:50:26.729,TrainML,MLTrain,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
