Time,Experiment,Phase,Event,Detail,Action
17:31:35.930,TrainML,MLTrain,Experiment_Start,TrainML,
17:31:35.930,TrainML,MLTrain,Phase_Start,MLTrain,
17:31:41.552,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:31:41.554,TrainML,MLTrain,Dwell_Start,Button: StartTestBCI,Dwell_Started
17:31:42.336,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:31:47.159,TrainML,MLTrain,LSL_Connected,BCIBackend,BCI_Stream_Open
17:32:50.221,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:32:50.233,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:32:50.289,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:32:50.345,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:32:58.791,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:32:58.865,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:32:59.204,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:32:59.930,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:32:59.963,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:33:01.606,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:33:01.617,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:33:01.629,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:33:01.651,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:33:02.638,TrainML,MLTrain,Hover_Exit,Button: StartTestBCI,Hover_Exit
17:33:02.683,TrainML,MLTrain,Hover_Enter,Button: StartTestBCI,Hovering
17:33:04.683,TrainML,MLTrain,Dwell,Button: StartTestBCI,Dwelling_Completed
17:33:04.683,TrainML,MLTrain,Flicker,StartTestBCI,Flicker_Start
17:33:06.692,TrainML,MLTrain,Flicker,StartTestBCI,Flicker_End
17:33:06.692,TrainML,MLTrain,Action_Executed,Button: StartTestBCI; Action: ButtonAction,Execution_Proceeding
17:33:06.692,TrainML,MLTrain,MLtest_Start,MLtest,Trial_Sequence_Start
17:33:08.702,TrainML,MLTrain,Training_Active_Door1_Start,Door_Single,Training_Active_Door1_Start
17:33:12.711,TrainML,MLTrain,Training_Active_Door1_End,Door_Single,Training_Active_Door1_End
17:33:12.711,TrainML,MLTrain,Training_Imagery_Door1_Start,Door_Single,Training_Imagery_Door1_Start
17:33:16.721,TrainML,MLTrain,Training_Imagery_Door1_End,Door_Single,Training_Imagery_Door1_End
17:33:20.741,TrainML,MLTrain,Active_Training_Door2_Start,Door_Double,Active_Training_Door2_Start
17:33:24.751,TrainML,MLTrain,Active_Training_Door2_End,Door_Double,Active_Training_Door2_End
17:33:24.751,TrainML,MLTrain, ,Door_Double, 
